,density,wind,Run,Burned Out,Fine,Fire Put Out,Number of clusters (Fine),Number of clusters (Fire Put Out),On Fire,Total steps of the fire forest,width,height
554,0.5,48.0,554,1426,3220,363,75,235,0,49,100,100
555,0.5,48.0,555,1134,3545,292,85,195,0,55,100,100
556,0.5,48.0,556,654,4149,177,54,123,0,32,100,100
557,0.5,48.0,557,507,4396,134,62,92,0,29,100,100
558,0.5,48.0,558,1688,2953,406,79,288,0,62,100,100
559,0.5,48.0,559,350,4470,100,61,76,0,13,100,100
560,0.5,48.0,560,1874,2655,433,84,314,0,77,100,100
561,0.5,48.0,561,2597,1737,676,136,459,6,101,100,100
562,0.5,48.0,562,2162,2302,536,107,362,15,101,100,100
563,0.5,48.0,563,1696,2918,418,92,285,0,49,100,100
564,0.5,48.0,564,1187,3514,309,74,212,0,39,100,100
565,0.5,48.0,565,420,4422,120,52,86,0,21,100,100
566,0.5,48.0,566,1139,3558,298,81,209,0,45,100,100
567,0.5,48.0,567,1449,3206,357,99,271,0,89,100,100
568,0.5,48.0,568,1354,3288,334,77,248,0,45,100,100
569,0.5,48.0,569,2419,2102,547,115,383,6,101,100,100
570,0.5,48.0,570,2013,2553,498,86,337,0,81,100,100
571,0.5,48.0,571,445,4449,121,50,78,0,21,100,100
572,0.5,48.0,572,1870,2637,468,99,338,0,69,100,100
573,0.5,48.0,573,2571,1927,594,110,423,0,74,100,100
574,0.5,48.0,574,838,3894,207,74,156,0,25,100,100
575,0.5,48.0,575,862,3872,263,70,166,0,40,100,100
576,0.5,48.0,576,496,4378,123,67,90,0,16,100,100
577,0.5,48.0,577,1532,3108,371,71,265,0,85,100,100
578,0.5,48.0,578,996,3726,253,80,167,0,34,100,100
579,0.5,48.0,579,2219,2264,553,97,378,0,60,100,100
580,0.5,48.0,580,660,4231,184,39,130,0,31,100,100
581,0.5,48.0,581,2828,1525,674,130,466,0,79,100,100
582,0.5,48.0,582,560,4247,136,53,104,0,33,100,100
583,0.5,48.0,583,831,3889,220,82,163,0,62,100,100
584,0.5,48.0,584,1046,3722,256,66,172,0,40,100,100
585,0.5,48.0,585,1662,2858,408,91,276,0,56,100,100
586,0.5,48.0,586,1214,3474,288,74,207,0,51,100,100
587,0.5,48.0,587,959,3801,247,65,184,0,50,100,100
588,0.5,48.0,588,1317,3304,343,90,237,0,56,100,100
589,0.5,48.0,589,1082,3607,248,77,179,0,32,100,100
590,0.5,48.0,590,375,4601,102,49,69,0,27,100,100
591,0.5,48.0,591,2595,1756,654,133,455,0,59,100,100
592,0.5,48.0,592,1906,2620,455,92,333,0,85,100,100
593,0.5,48.0,593,1615,2957,406,92,291,0,56,100,100
594,0.5,48.0,594,1586,3044,366,89,263,0,86,100,100
595,0.5,48.0,595,1408,3204,366,86,254,0,88,100,100
596,0.5,48.0,596,944,3702,251,77,171,0,53,100,100
597,0.5,48.0,597,1480,3178,353,76,255,0,68,100,100
598,0.5,48.0,598,700,4095,163,53,118,0,36,100,100
599,0.5,48.0,599,468,4424,123,54,82,0,23,100,100
